ticker,name,sector,exchange
TCS,Tata Consultancy Services,IT,NSE
INFY,Infosys,IT,NSE
HDFCBANK,HDFC Bank,BANKING,NSE
ITC,ITC Ltd,FMCG,NSE
SUNPHARMA,Sun Pharma,PHARMA,NSE
LT,Larsen & Toubro,INFRASTRUCTURE,NSE
RELIANCE,Reliance Industries,ENERGY,NSE
ICICIBANK,ICICI Bank,BANKING,NSE
SBIN,State Bank of India,BANKING,NSE
BHARTIARTL,Bharti Airtel,TELECOM,NSE
KOTAKBANK,Kotak Mahindra Bank,BANKING,NSE
ASIANPAINT,Asian Paints,PAINTS,NSE
AXISBANK,Axis Bank,BANKING,NSE
MARUTI,Maruti Suzuki,AUTO,NSE
TITAN,Titan Company,CONSUMER DURABLES,NSE
BAJFINANCE,Bajaj Finance,FINANCE,NSE
WIPRO,Wipro,IT,NSE
ULTRACEMCO,UltraTech Cement,CEMENT,NSE
JSWSTEEL,JSW Steel,METALS,NSE
ADANIENT,Adani Enterprises,CONGLOMERATE,NSE
